_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_anchor_info_uid,_content_data_anchor_info_uname,_content_data_anchor_info_uface,_content_data_pk_info,_content_data_anchor_lottery,_content_data_timestamp,_content_data_guard_level,_content_data_fans_medal_level,_content_data_msg,_content_data_paid,_content_data_price,_content_data_gift_num,_content_data_gift_name,_content_data_gift_id,_content_data_uface,_content_data_uname,_content_data_uid,_content_data_type,_msg_type,
620.77,19:45:03,2021.12.30,LIVE_INTERACTIVE_GAME,1646746,菜崽,http://i1.hdslb.com/bfs/face/f1ed29e62fccf92d20abe430822c5d2bb7698cd2.jpg,None,None,1640864702,0,18,,False,100,2,辣条,1,http://i1.hdslb.com/bfs/face/c2a881961f8aeda0bf781d7aeaebb76f3af4c069.jpg,莱崽,381303955,1,other,
622.26,19:45:05,2021.12.30,LIVE_INTERACTIVE_GAME,1646746,菜崽,http://i1.hdslb.com/bfs/face/f1ed29e62fccf92d20abe430822c5d2bb7698cd2.jpg,None,None,1640864704,0,18,,False,0,24,小心心,30607,http://i1.hdslb.com/bfs/face/c2a881961f8aeda0bf781d7aeaebb76f3af4c069.jpg,莱崽,381303955,1,other,
2021.35,20:08:24,2021.12.30,LIVE_INTERACTIVE_GAME,1646746,菜崽,http://i1.hdslb.com/bfs/face/f1ed29e62fccf92d20abe430822c5d2bb7698cd2.jpg,None,None,1640866103,0,16,,False,0,5,小心心,30607,http://i2.hdslb.com/bfs/face/ed0137b193f7bf1ea33a34a071320e75cd3b21dc.jpg,三星糯米,327635747,1,other,
3917.87,20:40:00,2021.12.30,LIVE_INTERACTIVE_GAME,1646746,菜崽,http://i1.hdslb.com/bfs/face/f1ed29e62fccf92d20abe430822c5d2bb7698cd2.jpg,None,None,1640867999,0,0,,False,0,500,次元火力,31132,http://i1.hdslb.com/bfs/face/4e7cfbd97cb012f39e988f4bf79a2751a294d765.jpg,南风几时到西洲,405907,1,other,
