_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_identities,_content_data_trigger_time,_content_data_max_delay_time,_content_data_icon_list,_content_data_copy_writing_v2,_content_data_business,_content_data_web_close_time,_content_data_web_effect_close,_content_data_web_effective_time,_content_data_web_basemap_url,_content_data_effective_time,_content_data_show_avatar,_content_data_basemap_url,_content_data_priority,_content_data_highlight_color,_content_data_copy_color,_content_data_copy_writing,_content_data_privilege_type,_content_data_face,_content_data_mock_effect,_content_data_target_id,_content_data_uid,_content_data_id,_msg_type,
848.28,19:48:51,2021.12.30,ENTRY_EFFECT,33,1640864929586312873,7,[1],欢迎 <^icon^> 提督 <%本体哈士奇%> 进入直播间,1,0,0,3,https://i0.hdslb.com/bfs/live/mlive/58091ef79c0e4e654bb3eea3ab1f3329d0e24b95.png,3,1,https://i0.hdslb.com/bfs/live/mlive/58091ef79c0e4e654bb3eea3ab1f3329d0e24b95.png,1,#FFF100,#ffffff,欢迎提督 <%本体哈士奇%> 进入直播间,2,https://i0.hdslb.com/bfs/face/1f271a06bacfb442b8a24b276405331c197f72ff.jpg,0,1646746,8920872,2,other,
1138.94,19:53:41,2021.12.30,ENTRY_EFFECT,6,1640865219609439486,7,[],欢迎舰长 <%思影先生%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%思影先生%> 进入直播间,3,https://i0.hdslb.com/bfs/face/06a965427609aaaefcbb29935de52c90014ee1b2.jpg,0,1646746,10501911,4,other,
3950.14,20:40:32,2021.12.30,ENTRY_EFFECT,1,1640868030771477129,7,[],欢迎<%Deepse…%>进入直播间,2,900,1,10,https://i0.hdslb.com/bfs/live/mlive/99c4f17f08d1282382c62699e3ac63193dc9b97d.png,10,1,https://i0.hdslb.com/bfs/live/mlive/99c4f17f08d1282382c62699e3ac63193dc9b97d.png,1,#fff14b,#ffffff,欢迎<%Deepsea...%>进入直播间,0,https://i2.hdslb.com/bfs/face/a8413b7b316492b0326525269bf77c741f3984ae.jpg,0,1646746,94324901,183,other,
5050.81,20:58:53,2021.12.30,ENTRY_EFFECT,6,1640869131516163128,7,[],欢迎舰长 <%明明是乐子人%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%明明是乐子人%> 进入直播间,3,https://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg,0,1646746,23919698,4,other,
11646.69,22:48:49,2021.12.30,ENTRY_EFFECT,6,1640875727946726200,7,[],欢迎舰长 <%明明是乐子人%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%明明是乐子人%> 进入直播间,3,https://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg,0,1646746,23919698,4,other,
