_DeltaTime,_ExactTime,_Date,_color,_content,_name,_msg_type,
204.64,19:38:07,2021.12.30,54eed8,╮(￣▽￣)╭,hondoes,danmaku,
1722.48,20:03:25,2021.12.30,ffffff,.,二十-一-,danmaku,
1846.88,20:05:29,2021.12.30,ffffff,_(:3」∠)_,予想GUY,danmaku,
2718.42,20:20:01,2021.12.30,54eed8,打扰了,硬硬的呢,danmaku,
3355.04,20:30:37,2021.12.30,ffffff,(●￣(ｴ)￣●),抹不去你留下的唇印,danmaku,
5447.65,21:05:30,2021.12.30,ffffff,ε=ε=(ノ≧∇≦)ノ,予想GUY,danmaku,
6522.43,21:23:25,2021.12.30,54eed8,(●￣(ｴ)￣●),汰鴻Mgn,danmaku,
8592.36,21:57:55,2021.12.30,ffffff,保利龙,冥无先生,danmaku,
9047.33,22:05:30,2021.12.30,ffffff,ε=ε=(ノ≧∇≦)ノ,予想GUY,danmaku,
9973.06,22:20:55,2021.12.30,ffffff,(=^.^=),潜水の太ったハト,danmaku,
10870.82,22:35:53,2021.12.30,54eed8,来了来了,安紅,danmaku,
11054.2,22:38:57,2021.12.30,ff9800,⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄,将就゛,danmaku,
12197.27,22:58:00,2021.12.30,54eed8,打卡...,不愿飞作天上仙,danmaku,
13549.38,23:20:32,2021.12.30,ffffff,雀食,慕夏Alphard,danmaku,
