_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname_color,_content_data_uname,_content_data_uid,_content_data_trigger_time,_content_data_timestamp,_content_data_tail_icon,_content_data_spread_info,_content_data_spread_desc,_content_data_score,_content_data_roomid,_content_data_msg_type,_content_data_is_spread,_content_data_identities,_content_data_fans_medal_anchor_roomid,_content_data_fans_medal_guard_level,_content_data_fans_medal_icon_id,_content_data_fans_medal_is_lighted,_content_data_fans_medal_medal_color,_content_data_fans_medal_medal_color_border,_content_data_fans_medal_medal_color_end,_content_data_fans_medal_medal_color_start,_content_data_fans_medal_medal_level,_content_data_fans_medal_medal_name,_content_data_fans_medal_score,_content_data_fans_medal_special,_content_data_fans_medal_target_id,_content_data_dmscore,_content_data_contribution_grade,_msg_type,
1504.45,19:59:47,2021.12.30,INTERACT_WORD,,娜娜别这样,44307386,1640865584127269400,1640865585,0,,,1640865585204,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
2379.07,20:14:21,2021.12.30,INTERACT_WORD,,奔腾的千里马,12002407,1640866458774731500,1640866459,0,,,1640866459829,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
2415.5,20:14:58,2021.12.30,INTERACT_WORD,,男姑娘丶,128782085,1640866495162065400,1640866496,0,,,1640866496234,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
3167.08,20:27:29,2021.12.30,INTERACT_WORD,,一个好人呃,281415452,1640867246754215400,1640867247,0,,,1640867247827,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
6712.11,21:26:34,2021.12.30,INTERACT_WORD,,阿立立立-,401770954,1640870791761265400,1640870792,0,,,1640870792852,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
7198.06,21:34:40,2021.12.30,INTERACT_WORD,,LKL昆,347150579,1640871277762253600,1640871278,0,,,1640871278810,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
7414.13,21:38:16,2021.12.30,INTERACT_WORD,,弑杀のciwe沉默证人,24376405,1640871493822942500,1640871494,0,,,1640891513853,44857,1,0,[3, 1],8324350,0,0,1,9272486,9272486,9272486,9272486,10,小霖Ql,10019,,36047134,12,0,other,
8590.58,21:57:53,2021.12.30,INTERACT_WORD,,冥无先生,85900823,1640872670271831800,1640872671,0,,,1640889383342,44857,1,0,[3, 1],21721813,0,0,1,6126494,6126494,6126494,6126494,8,蘑菇♥,6712,,436473455,6,0,other,
9925.46,22:20:08,2021.12.30,INTERACT_WORD,,lin0o000,351421520,1640874005112142300,1640874006,0,,,1640874006179,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
9970.4,22:20:53,2021.12.30,INTERACT_WORD,,潜水の太ったハト,5581911,1640874050045534700,1640874051,0,,,1641176645134,44857,1,0,[3, 1],896322,0,0,1,13081892,13081892,13081892,13081892,18,上行坂,292594,,19553445,16,0,other,
11381.51,22:44:24,2021.12.30,INTERACT_WORD,,ayesu,487987194,1640875460551284000,1640875461,0,,,1640875461555,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
11925.79,22:53:28,2021.12.30,INTERACT_WORD,,唯爱小雅琴,324930831,1640876004600042200,1640876005,0,,,1640876005694,44857,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
13182.26,23:14:25,2021.12.30,INTERACT_WORD,,如果名字太长的话老大远就看得见,25754244,1640877261938079700,1640877263,0,,,1640960949026,44857,1,0,[3, 1],12657,0,0,1,12478086,12478086,12478086,12478086,15,藕片,73686,,893553,16,0,other,
13549.37,23:20:32,2021.12.30,INTERACT_WORD,,慕夏Alphard,2410015,1640877627871736600,1640877628,0,,,1640938953947,44857,1,0,[3, 1],22637261,0,0,1,12478086,12478086,12478086,12478086,14,嘉心糖,51325,,672328094,12,0,other,
