_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname,_content_data_uid,_content_data_total_num,_content_data_send_master,_content_data_ruid,_content_data_r_uname,_content_data_name_color,_content_data_medal_info_anchor_roomid,_content_data_medal_info_anchor_uname,_content_data_medal_info_guard_level,_content_data_medal_info_icon_id,_content_data_medal_info_is_lighted,_content_data_medal_info_medal_color,_content_data_medal_info_medal_color_border,_content_data_medal_info_medal_color_end,_content_data_medal_info_medal_color_start,_content_data_medal_info_medal_level,_content_data_medal_info_medal_name,_content_data_medal_info_special,_content_data_medal_info_target_id,_content_data_is_show,_content_data_gift_num,_content_data_gift_name,_content_data_gift_id,_content_data_dmscore,_content_data_combo_total_coin,_content_data_combo_num,_content_data_combo_id,_content_data_batch_combo_num,_content_data_batch_combo_id,_content_data_action,_msg_type,
0.75,19:34:43,2021.12.30,COMBO_SEND,小榆巨讨厌吃咸鱼,271583533,3,None,777536,LexBurner,,0,,0,0,1,12478086,12478086,12478086,12478086,13,蕾丝,,777536,1,0,小心心,30607,56,0,3,gift:combo_id:271583533:777536:30607:1640864072.7863,3,batch:gift:combo_id:271583533:777536:30607:1640864072.7872,投喂,other,
1.79,19:34:44,2021.12.30,COMBO_SEND,张大蛙蛙,441180930,21,None,777536,LexBurner,,0,,0,0,1,9272486,9272486,9272486,9272486,10,蕾丝,,777536,1,0,小心心,30607,56,0,21,gift:combo_id:441180930:777536:30607:1640864068.6880,21,batch:gift:combo_id:441180930:777536:30607:1640864068.6888,投喂,other,
1.79,19:34:44,2021.12.30,COMBO_SEND,Omen_00,23720743,13,None,777536,LexBurner,,0,,0,0,1,12478086,12478086,12478086,12478086,14,蕾丝,,777536,1,0,小心心,30607,56,0,13,gift:combo_id:23720743:777536:30607:1640864068.3031,13,batch:gift:combo_id:23720743:777536:30607:1640864068.3045,投喂,other,
2.82,19:34:45,2021.12.30,COMBO_SEND,清明与酒共盏酌,3180334,25,None,777536,LexBurner,,0,,3,0,1,1725515,6809855,5414290,1725515,23,妖久久,,362592967,1,0,小心心,30607,80,0,25,gift:combo_id:3180334:777536:30607:1640864072.9281,25,batch:gift:combo_id:3180334:777536:30607:1640864075.4714,投喂,other,
3.88,19:34:46,2021.12.30,COMBO_SEND,右小小佑,5388782,5,None,777536,LexBurner,,0,,0,0,0,0,0,0,0,0,,,0,1,0,粉丝团灯牌,31164,8,500,5,gift:combo_id:5388782:777536:31164:1640864074.2543,5,batch:gift:combo_id:5388782:777536:31164:1640864074.2552,投喂,other,
10.15,19:34:52,2021.12.30,COMBO_SEND,榴莲麦麦提,40702696,15,None,777536,LexBurner,,0,,0,0,1,9272486,9272486,9272486,9272486,10,蕾丝,,777536,1,0,打call,31037,56,7500,15,gift:combo_id:40702696:777536:31037:1640864078.6145,15,batch:gift:combo_id:40702696:777536:31037:1640864078.6152,投喂,other,
11.25,19:34:54,2021.12.30,COMBO_SEND,Seers未遇见,765916,5,None,777536,LexBurner,#00D1F1,0,,3,0,1,398668,6809855,6850801,398668,25,蕾丝,,777536,1,1,星愿水晶球,31122,120,500000,5,gift:combo_id:765916:777536:31122:1640864048.7907,5,batch:gift:combo_id:765916:777536:31122:1640864048.7915,投喂,other,
12.29,19:34:55,2021.12.30,COMBO_SEND,ALTMANCOSMOS,381471099,1,None,777536,LexBurner,,0,,3,0,1,1725515,6809855,5414290,1725515,21,蕾丝,,777536,1,0,小心心,30607,120,0,1,gift:combo_id:381471099:777536:30607:1640864084.2788,1,batch:gift:combo_id:381471099:777536:30607:1640864084.2795,投喂,other,
15.41,19:34:58,2021.12.30,COMBO_SEND,诗微水,247225149,8,None,777536,LexBurner,,0,,0,0,1,6126494,6126494,6126494,6126494,8,蕾丝,,777536,1,0,小心心,30607,40,0,8,gift:combo_id:247225149:777536:30607:1640864085.1880,8,batch:gift:combo_id:247225149:777536:30607:1640864085.1889,投喂,other,
17.47,19:35:00,2021.12.30,COMBO_SEND,玛卡牛马,1000556525,6,None,777536,LexBurner,,0,,0,0,0,6067854,12632256,12632256,12632256,1,蕾丝,,777536,1,0,牛哇牛哇,31039,32,600,6,gift:combo_id:1000556525:777536:31039:1640864088.1897,6,batch:gift:combo_id:1000556525:777536:31039:1640864088.1906,投喂,other,
24.0,19:35:06,2021.12.30,COMBO_SEND,PandaHotaru,2508534,5,None,777536,LexBurner,,0,,0,0,1,6067854,6067854,6067854,6067854,3,冬日,,24049951,1,0,小心心,30607,40,0,5,gift:combo_id:2508534:777536:30607:1640864091.1357,5,batch:gift:combo_id:2508534:777536:30607:1640864096.2241,投喂,other,
25.02,19:35:07,2021.12.30,COMBO_SEND,所以四为什么是十,238594639,1,None,777536,LexBurner,,0,,0,0,1,6126494,6126494,6126494,6126494,6,蕾丝,,777536,1,0,小心心,30607,40,0,1,gift:combo_id:238594639:777536:30607:1640864097.1963,1,batch:gift:combo_id:238594639:777536:30607:1640864097.1971,投喂,other,
26.05,19:35:08,2021.12.30,COMBO_SEND,阿尔塞Duo,1072941346,24,None,777536,LexBurner,,0,,0,0,1,6126494,6126494,6126494,6126494,8,蕾丝,,777536,1,0,小心心,30607,80,0,24,gift:combo_id:1072941346:777536:30607:1640864098.3147,24,batch:gift:combo_id:1072941346:777536:30607:1640864098.3155,投喂,other,
