_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_rank_type,_content_data_list,_msg_type,
523.3,19:43:26,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 4, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 6, 'guard_level': 3}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 7, 'guard_level': 2}],other,
525.37,19:43:28,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 4, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 6, 'guard_level': 2}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '9505', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
531.72,19:43:34,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 4, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 6, 'guard_level': 3}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 7, 'guard_level': 2}],other,
592.87,19:44:35,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 4, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 6, 'guard_level': 2}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '9505', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
592.87,19:44:35,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 4, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 6, 'guard_level': 3}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 7, 'guard_level': 2}],other,
593.95,19:44:36,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 4, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 6, 'guard_level': 2}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '9505', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
593.95,19:44:36,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 5, 'guard_level': 3}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 6, 'guard_level': 2}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '9505', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
595.02,19:44:37,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 5, 'guard_level': 3}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 6, 'guard_level': 2}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '9505', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
595.02,19:44:37,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22453', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 4, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 6, 'guard_level': 3}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 7, 'guard_level': 2}],other,
722.38,19:46:45,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25960', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 2, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22454', 'uname': '無双Shmily', 'rank': 3, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 4, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 5, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 6, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12455', 'uname': 'P塔pi', 'rank': 7, 'guard_level': 3}],other,
880.47,19:49:23,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 491302872, 'face': 'http://i0.hdslb.com/bfs/face/9005ecd2c3bb2c3a1c38645d08866377f4b5eca2.jpg', 'score': '159982', 'uname': '碧根果核桃碎我都要', 'rank': 1, 'guard_level': 1}, {'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 2, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25962', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 3, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22954', 'uname': '無双Shmily', 'rank': 4, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 5, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 6, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 7, 'guard_level': 2}],other,
1207.58,19:54:50,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 491302872, 'face': 'http://i0.hdslb.com/bfs/face/9005ecd2c3bb2c3a1c38645d08866377f4b5eca2.jpg', 'score': '179983', 'uname': '碧根果核桃碎我都要', 'rank': 1, 'guard_level': 1}, {'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 2, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25963', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 3, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '23455', 'uname': '無双Shmily', 'rank': 4, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 5, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 6, 'guard_level': 2}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '9505', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
1241.32,19:55:24,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 491302872, 'face': 'http://i0.hdslb.com/bfs/face/9005ecd2c3bb2c3a1c38645d08866377f4b5eca2.jpg', 'score': '179983', 'uname': '碧根果核桃碎我都要', 'rank': 1, 'guard_level': 1}, {'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 2, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25963', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 3, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '23456', 'uname': '無双Shmily', 'rank': 4, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21001', 'uname': '南瓜54', 'rank': 5, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 6, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 7, 'guard_level': 2}],other,
1318.72,19:56:41,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 491302872, 'face': 'http://i0.hdslb.com/bfs/face/9005ecd2c3bb2c3a1c38645d08866377f4b5eca2.jpg', 'score': '179983', 'uname': '碧根果核桃碎我都要', 'rank': 1, 'guard_level': 1}, {'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 2, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25963', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 3, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21501', 'uname': '南瓜54', 'rank': 4, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 5, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 6, 'guard_level': 2}, {'uid': 73124290, 'face': 'http://i1.hdslb.com/bfs/face/abdf04e646144c6931deac78a0761a8f1b02e6c1.jpg', 'score': '15990', 'uname': '七千谣', 'rank': 7, 'guard_level': 2}],other,
1322.99,19:56:45,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 491302872, 'face': 'http://i0.hdslb.com/bfs/face/9005ecd2c3bb2c3a1c38645d08866377f4b5eca2.jpg', 'score': '179983', 'uname': '碧根果核桃碎我都要', 'rank': 1, 'guard_level': 1}, {'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 2, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25963', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 3, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '23456', 'uname': '無双Shmily', 'rank': 4, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21501', 'uname': '南瓜54', 'rank': 5, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 6, 'guard_level': 2}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 7, 'guard_level': 2}],other,
1574.31,20:00:57,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 491302872, 'face': 'http://i0.hdslb.com/bfs/face/9005ecd2c3bb2c3a1c38645d08866377f4b5eca2.jpg', 'score': '179983', 'uname': '碧根果核桃碎我都要', 'rank': 1, 'guard_level': 1}, {'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 2, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25963', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 3, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '23456', 'uname': '無双Shmily', 'rank': 4, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21501', 'uname': '南瓜54', 'rank': 5, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 6, 'guard_level': 2}, {'uid': 26706249, 'face': 'http://i0.hdslb.com/bfs/face/f3f361286f52b2029c102dca40873b71977b42d5.jpg', 'score': '20000', 'uname': '是beng不是ben', 'rank': 7, 'guard_level': 2}],other,
1780.2,20:04:23,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 491302872, 'face': 'http://i0.hdslb.com/bfs/face/9005ecd2c3bb2c3a1c38645d08866377f4b5eca2.jpg', 'score': '179983', 'uname': '碧根果核桃碎我都要', 'rank': 1, 'guard_level': 1}, {'uid': 26706249, 'face': 'http://i0.hdslb.com/bfs/face/f3f361286f52b2029c102dca40873b71977b42d5.jpg', 'score': '40000', 'uname': '是beng不是ben', 'rank': 2, 'guard_level': 2}, {'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '26205', 'uname': '北红豆', 'rank': 3, 'guard_level': 1}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '25963', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 4, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '23456', 'uname': '無双Shmily', 'rank': 5, 'guard_level': 1}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '21503', 'uname': '南瓜54', 'rank': 6, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 7, 'guard_level': 2}],other,
