_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_39_action,_content_data_39_id,_msg_type,
2420.29,20:15:03,2021.12.30,SPECIAL_GIFT,end,3241358850207,other,
2420.3,20:15:03,2021.12.30,SPECIAL_GIFT,end,3241358850207,other,
