_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_sub_session_key,_content_data_live_key,_content_data_parent_area_name,_content_data_area_name,_content_data_parent_area_id,_content_data_area_id,_content_data_title,_msg_type,
1770.4,20:04:13,2021.12.30,ROOM_CHANGE,204607242639518821sub_time:1640865852,204607242639518821,电台,聊天电台,5,192,在吗？,other,
4429.78,20:48:32,2021.12.30,ROOM_CHANGE,204607242639518821sub_time:1640868511,204607242639518821,单机游戏,其他单机,6,235,在吗？,other,
4592.78,20:51:15,2021.12.30,ROOM_CHANGE,204607242639518821sub_time:1640868511,204607242639518821,单机游戏,其他单机,6,235,在吗？,other,
