_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_end_time,_content_data_start_time,_content_data_gift_name,_content_data_gift_id,_content_data_price,_content_data_num,_content_data_guard_level,_content_data_username,_content_data_uid,_msg_type,
1743.9,20:03:46,2021.12.30,GUARD_BUY,1640865826,1640865826,舰长,10003,198000,1,3,陆茶的鹿茶,11721383,other,
1814.2,20:04:57,2021.12.30,GUARD_BUY,1640865896,1640865896,舰长,10003,198000,1,3,肖遥_,24599619,other,
1840.33,20:05:23,2021.12.30,GUARD_BUY,1640865922,1640865922,提督,10002,1998000,1,2,呢子米,13408902,other,
1875.61,20:05:58,2021.12.30,GUARD_BUY,1640865957,1640865957,舰长,10003,198000,1,3,璞玉待人琢,8757536,other,
2027.47,20:08:30,2021.12.30,GUARD_BUY,1640866109,1640866109,舰长,10003,198000,1,3,兮米Lu,6738524,other,
2101.23,20:09:44,2021.12.30,GUARD_BUY,1640866183,1640866183,舰长,10003,198000,12,3,鬼小玥,21075089,other,
2123.74,20:10:06,2021.12.30,GUARD_BUY,1640866205,1640866205,舰长,10003,198000,1,3,1694-w王北川,13892516,other,
2128.37,20:10:11,2021.12.30,GUARD_BUY,1640866211,1640866211,舰长,10003,198000,1,3,啊呜一口小橘子,16222903,other,
2200.24,20:11:23,2021.12.30,GUARD_BUY,1640866282,1640866282,舰长,10003,198000,1,3,清川不会数学,91693009,other,
2324.34,20:13:27,2021.12.30,GUARD_BUY,1640866406,1640866406,舰长,10003,198000,1,3,小韩-_-,507624202,other,
2357.95,20:14:00,2021.12.30,GUARD_BUY,1640866439,1640866439,舰长,10003,198000,1,3,晚晚每天睡不够,19153130,other,
2380.42,20:14:23,2021.12.30,GUARD_BUY,1640866462,1640866462,舰长,10003,198000,1,3,kikiriko,231857063,other,
2406.49,20:14:49,2021.12.30,GUARD_BUY,1640866489,1640866489,舰长,10003,198000,1,3,源沅圆圆圆,448237157,other,
2407.53,20:14:50,2021.12.30,GUARD_BUY,1640866489,1640866489,舰长,10003,198000,1,3,喜欢lex永永远远,322007699,other,
2474.93,20:15:57,2021.12.30,GUARD_BUY,1640866557,1640866557,舰长,10003,198000,1,3,冰月是刀削面子,29964028,other,
2479.27,20:16:02,2021.12.30,GUARD_BUY,1640866561,1640866561,舰长,10003,198000,1,3,奶酪发电站,33935599,other,
2519.1,20:16:41,2021.12.30,GUARD_BUY,1640866601,1640866601,舰长,10003,198000,1,3,蓝绮绮_,670586,other,
2542.3,20:17:05,2021.12.30,GUARD_BUY,1640866624,1640866624,舰长,10003,198000,1,3,路遥车马急的人间,105424713,other,
2550.56,20:17:13,2021.12.30,GUARD_BUY,1640866632,1640866632,舰长,10003,198000,1,3,旧酒九年_,12088214,other,
2552.71,20:17:15,2021.12.30,GUARD_BUY,1640866634,1640866634,舰长,10003,198000,1,3,小鹅酱酱狗,15561437,other,
2558.97,20:17:21,2021.12.30,GUARD_BUY,1640866641,1640866641,舰长,10003,198000,1,3,我来啦啊,28393346,other,
2598.2,20:18:01,2021.12.30,GUARD_BUY,1640866680,1640866680,舰长,10003,198000,1,3,kbt喵,17055832,other,
2606.66,20:18:09,2021.12.30,GUARD_BUY,1640866688,1640866688,舰长,10003,198000,1,3,吧唧R丶,23347483,other,
2626.92,20:18:29,2021.12.30,GUARD_BUY,1640866709,1640866709,舰长,10003,198000,1,3,艾没熄,32451617,other,
2668.1,20:19:10,2021.12.30,GUARD_BUY,1640866750,1640866750,舰长,10003,198000,1,3,阿砖阿石,10862480,other,
2686.08,20:19:28,2021.12.30,GUARD_BUY,1640866768,1640866768,舰长,10003,198000,1,3,幼狐饲养员,6835241,other,
2695.53,20:19:38,2021.12.30,GUARD_BUY,1640866777,1640866777,舰长,10003,198000,1,3,屋里叁儿啊,19048394,other,
2813.27,20:21:36,2021.12.30,GUARD_BUY,1640866895,1640866895,舰长,10003,198000,1,3,黑土豆豆嬷嬷,37846886,other,
2845.37,20:22:08,2021.12.30,GUARD_BUY,1640866927,1640866927,舰长,10003,198000,1,3,海塔,7537162,other,
2854.82,20:22:17,2021.12.30,GUARD_BUY,1640866936,1640866936,舰长,10003,198000,1,3,佐尚希-,473021219,other,
2964.25,20:24:07,2021.12.30,GUARD_BUY,1640867046,1640867046,舰长,10003,198000,1,3,铃铛叮叮,3786100,other,
3009.45,20:24:52,2021.12.30,GUARD_BUY,1640867092,1640867092,舰长,10003,198000,1,3,光明战神丶,443749502,other,
3025.8,20:25:08,2021.12.30,GUARD_BUY,1640867108,1640867108,舰长,10003,198000,1,3,江湖骗子已注销版,10040346,other,
