_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_identities,_content_data_trigger_time,_content_data_max_delay_time,_content_data_icon_list,_content_data_copy_writing_v2,_content_data_business,_content_data_web_close_time,_content_data_web_effect_close,_content_data_web_effective_time,_content_data_web_basemap_url,_content_data_effective_time,_content_data_show_avatar,_content_data_basemap_url,_content_data_priority,_content_data_highlight_color,_content_data_copy_color,_content_data_copy_writing,_content_data_privilege_type,_content_data_face,_content_data_mock_effect,_content_data_target_id,_content_data_uid,_content_data_id,_msg_type,
2.82,19:34:45,2021.12.30,ENTRY_EFFECT,6,1640864083990943576,7,[],欢迎舰长 <%雨雨雨雨回%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,70,#E6FF00,#ffffff,欢迎舰长 <%雨雨雨雨回%> 进入直播间,3,https://i1.hdslb.com/bfs/face/ecb4ca6c556ba3fbd151a8ea5d3e834837f73c9d.jpg,0,777536,36005752,4,other,
4.91,19:34:47,2021.12.30,ENTRY_EFFECT,6,1640864085842054803,7,[],欢迎舰长 <%宇智波豆豆_%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%宇智波豆豆_%> 进入直播间,3,https://i2.hdslb.com/bfs/face/8f7738053f8dcbef15e7553acdc0d3a34d528e84.jpg,0,777536,31984478,4,other,
4.92,19:34:47,2021.12.30,ENTRY_EFFECT,6,1640864086388888850,7,[],欢迎舰长 <%周劳西爱喝粥%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%周劳西爱喝粥%> 进入直播间,3,https://i0.hdslb.com/bfs/face/276b570f7f864fc8b5c6af5525042d1179c09cf0.jpg,0,777536,433463865,4,other,
7.0,19:34:49,2021.12.30,ENTRY_EFFECT,6,1640864088406615254,7,[],欢迎舰长 <%霹雳娇娃贝贝%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%霹雳娇娃贝贝%> 进入直播间,3,https://i0.hdslb.com/bfs/face/7fda8ddfd26a86fa1ea78a8c2a2ae1a54a526bab.jpg,0,777536,4368174,4,other,
13.33,19:34:56,2021.12.30,ENTRY_EFFECT,6,1640864093972274008,7,[],欢迎舰长 <%是11365…%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,70,#E6FF00,#ffffff,欢迎舰长 <%是11365的...%> 进入直播间,3,https://i2.hdslb.com/bfs/face/f88a4958bb5899339b1c37d01bc25a158770ee94.jpg,0,777536,20243141,4,other,
13.33,19:34:56,2021.12.30,ENTRY_EFFECT,6,1640864094642565404,7,[],欢迎舰长 <%MaX想睡觉%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%MaX想睡觉%> 进入直播间,3,https://i0.hdslb.com/bfs/face/60901f0d7a110366418145b449143068ab954d17.jpg,0,777536,404518035,4,other,
17.47,19:35:00,2021.12.30,ENTRY_EFFECT,6,1640864098931710845,7,[],欢迎舰长 <%猫狸子的瓜%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%猫狸子的瓜%> 进入直播间,3,https://i1.hdslb.com/bfs/face/a8101297856f0141b3b83ffe7200bccb7ba518c5.jpg,0,777536,11899396,4,other,
18.5,19:35:01,2021.12.30,ENTRY_EFFECT,6,1640864099203346488,7,[],欢迎舰长 <%想恰小饼干%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%想恰小饼干%> 进入直播间,3,https://i2.hdslb.com/bfs/face/e020feb9455df41e530f4e685c4bd43e6c54412c.jpg,0,777536,275903372,4,other,
19.54,19:35:02,2021.12.30,ENTRY_EFFECT,6,1640864101207031127,7,[],欢迎舰长 <%七分浓缩冰美式%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%七分浓缩冰美式%> 进入直播间,3,https://i2.hdslb.com/bfs/face/900b6661541a5904adcd1923b9ccf0d2234ab779.jpg,0,777536,21503177,4,other,
21.91,19:35:04,2021.12.30,ENTRY_EFFECT,6,1640864102767738337,7,[],欢迎舰长 <%東南坼%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%東南坼%> 进入直播间,3,https://i2.hdslb.com/bfs/face/63e90dd3a5f9954d8a969c8d4b01590cb4a278db.jpg,0,777536,20014610,4,other,
22.96,19:35:05,2021.12.30,ENTRY_EFFECT,6,1640864104240011753,7,[],欢迎舰长 <%小緗要好好睡%> 进入直播间,1,0,0,2,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,2,1,https://i0.hdslb.com/bfs/live/mlive/f34c7441cdbad86f76edebf74e60b59d2958f6ad.png,1,#E6FF00,#ffffff,欢迎舰长 <%小緗要好好睡%> 进入直播间,3,https://i0.hdslb.com/bfs/face/7f6580bd3b912b0e5abfcea9ba890985e45f2ebd.jpg,0,777536,9227724,4,other,
