_DeltaTime,_ExactTime,_Date,_color,_content,_name,_msg_type,
14.32,19:34:57,2021.12.30,54eed8,╮(￣▽￣)╭,黑咖啡凤凰,danmaku,
14.32,19:34:57,2021.12.30,58c1de,开门,近卫の扇,danmaku,
66.73,19:35:49,2021.12.30,54eed8,啊这,釣海,danmaku,
155.77,19:37:18,2021.12.30,54eed8,咚咚咚,某魔法的晓美焰,danmaku,
345.62,19:40:28,2021.12.30,58c1de,2333,TH灬执念,danmaku,
412.84,19:41:35,2021.12.30,54eed8,今天不会来了吧,鸳鸯不爱吃火锅,danmaku,
418.1,19:41:40,2021.12.30,54eed8,开门！,芙莱姆,danmaku,
447.74,19:42:10,2021.12.30,54eed8,╮(￣▽￣)╭,Gabeln,danmaku,
465.38,19:42:28,2021.12.30,54eed8,1,一只菜鸡32568_,danmaku,
483.42,19:42:46,2021.12.30,54eed8,开门,南康__白起,danmaku,
547.5,19:43:50,2021.12.30,54eed8,╮(￣▽￣)╭,黑咖啡凤凰,danmaku,
597.43,19:44:40,2021.12.30,54eed8,(⌒▽⌒),捞人の无趣,danmaku,
620.88,19:45:03,2021.12.30,54eed8,_,想吃樱の桃,danmaku,
813.8,19:48:16,2021.12.30,54eed8,(⌒▽⌒),捞人の无趣,danmaku,
912.28,19:49:55,2021.12.30,54eed8,_(:3」∠)_,南星骑士,danmaku,
967.13,19:50:49,2021.12.30,54eed8,会来吗,BlueNight_,danmaku,
1228.88,19:55:11,2021.12.30,54eed8,4,小鹿的南瓜灯,danmaku,
1231.27,19:55:14,2021.12.30,ffffff,开门啊,守护呀i,danmaku,
1248.46,19:55:31,2021.12.30,ffffff,不会来了  明年见了  各位,我没有取昵称,danmaku,
1347.99,19:57:10,2021.12.30,ff6868,打卡,蓝羽月_,danmaku,
1423.28,19:58:26,2021.12.30,54eed8,。,幽幽幽夜,danmaku,
1498.08,19:59:40,2021.12.30,54eed8,。,就不起正经名,danmaku,
1518.12,20:00:00,2021.12.30,54eed8,让我访问,ccxinQAQ,danmaku,
1600.85,20:01:23,2021.12.30,ffffff,打卡,纯女侠,danmaku,
1618.47,20:01:41,2021.12.30,58c1de,让我玩访问！,躺尸-咸鱼,danmaku,
1651.37,20:02:14,2021.12.30,54eed8,1,迷灬途,danmaku,
1775.35,20:04:18,2021.12.30,58c1de,打卡,野生-非酋,danmaku,
1855.56,20:05:38,2021.12.30,ff9800,(⌒▽⌒),-Eamin-,danmaku,
1923.2,20:06:45,2021.12.30,54eed8,打卡,Yukino_yukiii,danmaku,
