_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_anchor_info_uid,_content_data_anchor_info_uname,_content_data_anchor_info_uface,_content_data_pk_info,_content_data_anchor_lottery,_content_data_timestamp,_content_data_guard_level,_content_data_fans_medal_level,_content_data_msg,_content_data_paid,_content_data_price,_content_data_gift_num,_content_data_gift_name,_content_data_gift_id,_content_data_uface,_content_data_uname,_content_data_uid,_content_data_type,_msg_type,
1078.84,19:52:41,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865160,0,16,,False,0,1,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
1078.84,19:52:41,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865160,0,16,,False,0,1,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
1078.84,19:52:41,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865160,0,16,,False,0,1,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
1078.84,19:52:41,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865161,0,16,,False,0,1,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
1078.84,19:52:41,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865161,0,16,,False,0,1,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
1078.84,19:52:41,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865161,0,16,,False,0,1,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
1079.83,19:52:42,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865161,0,16,,False,0,1,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
1624.88,20:01:47,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865706,0,15,,False,0,19,小心心,30607,http://i2.hdslb.com/bfs/face/21072580535769279d7a9b58897ed885b1763da8.jpg,躺尸-咸鱼,212137298,1,other,
1628.36,20:01:51,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865710,0,15,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/21072580535769279d7a9b58897ed885b1763da8.jpg,躺尸-咸鱼,212137298,1,other,
1856.8,20:05:39,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865938,0,13,,False,0,3,小心心,30607,http://i0.hdslb.com/bfs/face/29e9f143d8dbaf60f397ac0a1d85711ab4df4013.jpg,剪刀与人偶,12292722,1,other,
