_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname_color,_content_data_uname,_content_data_uid,_content_data_trigger_time,_content_data_timestamp,_content_data_tail_icon,_content_data_spread_info,_content_data_spread_desc,_content_data_score,_content_data_roomid,_content_data_msg_type,_content_data_is_spread,_content_data_identities,_content_data_fans_medal_anchor_roomid,_content_data_fans_medal_guard_level,_content_data_fans_medal_icon_id,_content_data_fans_medal_is_lighted,_content_data_fans_medal_medal_color,_content_data_fans_medal_medal_color_border,_content_data_fans_medal_medal_color_end,_content_data_fans_medal_medal_color_start,_content_data_fans_medal_medal_level,_content_data_fans_medal_medal_name,_content_data_fans_medal_score,_content_data_fans_medal_special,_content_data_fans_medal_target_id,_content_data_dmscore,_content_data_contribution_grade,_msg_type,
2.64,19:34:45,2021.12.30,INTERACT_WORD,,blutgott,456928275,1640864082317509600,1640864083,0,,,1640874984365,1370218,1,0,[3, 1],22673938,0,0,1,6067854,6067854,6067854,6067854,3,抱抱家,901,,501819040,4,0,other,
5.39,19:34:48,2021.12.30,INTERACT_WORD,,我没有取昵称,384960855,1640864085024980700,1640864086,0,,,1640864086096,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
5.39,19:34:48,2021.12.30,INTERACT_WORD,,颜灬辰,506294868,1640864085935657500,1640864086,0,,,1640864086965,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
10.57,19:34:53,2021.12.30,INTERACT_WORD,,紫荆云,20731754,1640864090187127300,1640864091,0,,,1640864091292,1370218,1,0,[1],4125471,0,0,0,12632256,12632256,12632256,12632256,7,五六柒,5488,,52926766,6,0,other,
21.07,19:35:03,2021.12.30,INTERACT_WORD,,16岁辍学开滴滴,233890545,1640864100698482000,1640864101,0,,,1640864101782,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
30.56,19:35:13,2021.12.30,INTERACT_WORD,,梨樱雪月,316509115,1640864110161821400,1640864111,0,,,1640874112281,1370218,1,0,[3, 1],1370218,0,0,1,6067854,6067854,6067854,6067854,1,水有月,1,,1958342,8,0,other,
40.72,19:35:23,2021.12.30,INTERACT_WORD,,剪刀与人偶,12292722,1640864120301500200,1640864121,0,,,1640892433374,1370218,1,0,[3, 1],3044248,0,0,1,9272486,9272486,9272486,9272486,11,Zc憨憨,18312,,13164144,12,0,other,
43.7,19:35:26,2021.12.30,INTERACT_WORD,,刹那盛放,39500396,1640864123294686500,1640864124,0,,,1640864124420,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
45.59,19:35:28,2021.12.30,INTERACT_WORD,,云邪天执,163621927,1640864125673654500,1640864126,0,,,1640864126723,1370218,1,0,[1],4190334,0,0,0,12632256,12632256,12632256,12632256,1,白蓑客,50,,10558098,4,0,other,
45.59,19:35:28,2021.12.30,INTERACT_WORD,,板凳上恰饭,342299530,1640864125297269000,1640864126,0,,,1640864126399,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
50.26,19:35:33,2021.12.30,INTERACT_WORD,,釣海,44187,1640864129914566000,1640864130,0,,,1641536601930,1370218,1,0,[3, 1],21449083,0,0,1,13081892,13081892,13081892,13081892,19,JK兔,662471,,434565011,16,0,other,
58.16,19:35:40,2021.12.30,INTERACT_WORD,,南九枝,434416087,1640864137764069000,1640864138,0,,,1640864138874,1370218,1,0,[1],0,0,0,0,6067854,12632256,12632256,12632256,3,宝贝兔,524,,483162496,4,0,other,
72.28,19:35:55,2021.12.30,INTERACT_WORD,,丶广陵止息,231160668,1640864151933553700,1640864152,0,,,1640864152998,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
80.14,19:36:02,2021.12.30,INTERACT_WORD,,Tur_boo,373139992,1640864159784500700,1640864160,0,,,1640864160830,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,20,0,other,
86.15,19:36:08,2021.12.30,INTERACT_WORD,,追漫小霸王,289591495,1640864165756761900,1640864166,0,,,1640864166871,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
96.49,19:36:19,2021.12.30,INTERACT_WORD,,永恒间刹那,1816818,1640864176136219400,1640864177,0,,,1640864177205,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
108.87,19:36:31,2021.12.30,INTERACT_WORD,,言灵--火灵,415451730,1640864188486512400,1640864189,0,,,1640980249576,1370218,1,0,[3, 1],1370218,0,0,1,12478086,12478086,12478086,12478086,16,水有月,106060,,1958342,18,0,other,
110.66,19:36:33,2021.12.30,INTERACT_WORD,,dara6,254598954,1640864190312849200,1640864191,0,,,1640864191371,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
119.31,19:36:42,2021.12.30,INTERACT_WORD,,风月顽冥,21092332,1640864198871097300,1640864199,0,,,1640939630999,1370218,1,0,[3, 1],1370218,0,0,1,12478086,12478086,12478086,12478086,15,水有月,65431,,1958342,18,0,other,
122.34,19:36:45,2021.12.30,INTERACT_WORD,,木头人2015,10404811,1640864202012625000,1640864203,0,,,1690914599067,1370218,1,0,[3, 1],34162,3,0,1,398668,6809855,6850801,398668,26,萌狐,50040396,,3117538,20,0,other,
135.8,19:36:58,2021.12.30,INTERACT_WORD,,God韩非,39098963,1640864215432351000,1640864216,0,,,1640920932507,1370218,1,0,[3, 1],8765806,0,0,1,12478086,12478086,12478086,12478086,14,降智了,46716,,531251,12,0,other,
137.87,19:37:00,2021.12.30,INTERACT_WORD,,火种怪物枫君,5273525,1640864217760423400,1640864218,0,,,1640876340851,1370218,1,0,[3, 1],1370218,0,0,1,6126494,6126494,6126494,6126494,5,水有月,2122,,1958342,10,0,other,
137.87,19:37:00,2021.12.30,INTERACT_WORD,,-火鸡味锅-巴-,410355597,1640864218394473000,1640864219,0,,,1640885481474,1370218,1,0,[3, 1],21692711,0,0,1,9272486,9272486,9272486,9272486,10,秧歌星,11262,,3821157,12,0,other,
143.82,19:37:06,2021.12.30,INTERACT_WORD,,草管人命-包大仁,350221052,1640864223497562000,1640864224,0,,,1640864224532,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
145.0,19:37:07,2021.12.30,INTERACT_WORD,,丶骑士,5978994,1640864224631620000,1640864225,0,,,1640864225698,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
151.37,19:37:14,2021.12.30,INTERACT_WORD,,某魔法的晓美焰,24639289,1640864231008040400,1640864232,0,,,1640885664082,1370218,1,0,[3, 1],1370218,0,0,1,9272486,9272486,9272486,9272486,10,水有月,11432,,1958342,14,0,other,
151.37,19:37:14,2021.12.30,INTERACT_WORD,,苹果物语,40705730,1640864231648393000,1640864232,0,,,1640864232733,1370218,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
