_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname_color,_content_data_uname,_content_data_uid,_content_data_trigger_time,_content_data_timestamp,_content_data_tail_icon,_content_data_spread_info,_content_data_spread_desc,_content_data_score,_content_data_roomid,_content_data_msg_type,_content_data_is_spread,_content_data_identities,_content_data_fans_medal_anchor_roomid,_content_data_fans_medal_guard_level,_content_data_fans_medal_icon_id,_content_data_fans_medal_is_lighted,_content_data_fans_medal_medal_color,_content_data_fans_medal_medal_color_border,_content_data_fans_medal_medal_color_end,_content_data_fans_medal_medal_color_start,_content_data_fans_medal_medal_level,_content_data_fans_medal_medal_name,_content_data_fans_medal_score,_content_data_fans_medal_special,_content_data_fans_medal_target_id,_content_data_dmscore,_content_data_contribution_grade,_msg_type,
12.95,19:34:55,2021.12.30,INTERACT_WORD,,棕色笙歌,44771926,1640864092696950800,1640864093,0,,,1640864093750,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
59.95,19:35:42,2021.12.30,INTERACT_WORD,,假面骑士zqy,690793151,1640864139717633000,1640864140,0,,,1640864140764,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
64.74,19:35:47,2021.12.30,INTERACT_WORD,,没有火的锅小刘,439831246,1640864144469229600,1640864145,0,,,1640864145539,6103516,1,0,[1],500744,0,0,0,12632256,12632256,12632256,12632256,2,绵羊球,219,,18202105,4,0,other,
75.74,19:35:58,2021.12.30,INTERACT_WORD,,灼眼夏娜嘤,475879646,1640864155475650800,1640864156,0,,,1640864156528,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
77.37,19:36:00,2021.12.30,INTERACT_WORD,,2333狗东西,1631845536,1640864157046375200,1640864158,0,,,1640864158135,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
116.29,19:36:39,2021.12.30,INTERACT_WORD,,看看几点了-,309248545,1640864196993127000,1640864198,0,,,1640875948065,6103516,1,0,[3, 1],6103516,0,0,1,6126494,6126494,6126494,6126494,5,二哥哟,1750,,238329119,10,0,other,
123.8,19:36:46,2021.12.30,INTERACT_WORD,,akibalily,294172,1640864203577343200,1640864204,0,,,1641396841612,6103516,1,0,[3, 1],6103516,0,0,1,13081892,13081892,13081892,13081892,19,二哥哟,522637,,238329119,18,0,other,
131.85,19:36:54,2021.12.30,INTERACT_WORD,,鹅不拿猫,259747234,1640864212312250000,1640864213,0,,,1640898929381,6103516,1,0,[3, 1],6103516,0,0,1,9272486,9272486,9272486,9272486,11,二哥哟,24716,,238329119,14,0,other,
162.01,19:37:24,2021.12.30,INTERACT_WORD,,卤香小鱼,140014289,1640864241700297000,1640864242,0,,,1640904244814,6103516,1,0,[3, 1],6103516,0,0,1,9272486,9272486,9272486,9272486,12,二哥哟,30002,,238329119,14,0,other,
199.51,19:38:02,2021.12.30,INTERACT_WORD,,阿缪子有点小烦,102551270,1640864279266670800,1640864280,0,,,1640914839262,6103516,1,0,[3, 1],6103516,0,0,1,12478086,12478086,12478086,12478086,13,二哥哟,40559,,238329119,14,0,other,
235.77,19:38:38,2021.12.30,INTERACT_WORD,,崆嶋尽,451153163,1640864315449298000,1640864316,0,,,1640878717525,6103516,1,0,[3, 1],6103516,0,0,1,6126494,6126494,6126494,6126494,7,二哥哟,4401,,238329119,10,0,other,
251.39,19:38:54,2021.12.30,INTERACT_WORD,,度假人,498972384,1640864331161510000,1640864332,0,,,1640864332187,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
326.21,19:40:09,2021.12.30,INTERACT_WORD,,godgiao,637603673,1640864405967534000,1640864407,0,,,1640864407005,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
326.21,19:40:09,2021.12.30,INTERACT_WORD,,小小青春非我莫属,22834871,1640864406882966800,1640864407,0,,,1640864407999,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
330.52,19:40:13,2021.12.30,INTERACT_WORD,,想偷李毛毛,368652858,1640864410217848600,1640864411,0,,,1640864411324,6103516,1,0,[1],6103516,0,0,0,9272486,12632256,12632256,12632256,10,二哥哟,12061,,238329119,14,0,other,
341.96,19:40:24,2021.12.30,INTERACT_WORD,,Doraemon,1294226908,1640864421645384400,1640864422,0,,,1640864422756,6103516,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
368.22,19:40:51,2021.12.30,INTERACT_WORD,,S泱泱,101245565,1640864447922012000,1640864449,0,,,1690876625027,6103516,1,0,[3, 1],6103516,0,0,1,1725515,1725515,5414290,1725515,22,二哥哟,50002176,,238329119,18,0,other,
368.22,19:40:51,2021.12.30,INTERACT_WORD,,太懒没有名字哦,227600366,1640864448004682500,1640864449,0,,,1640884263085,6103516,1,0,[3, 1],6103516,0,0,1,9272486,9272486,9272486,9272486,10,二哥哟,9814,,238329119,14,0,other,
380.22,19:41:03,2021.12.30,INTERACT_WORD,,你毕业证没了,412136953,1640864459911032600,1640864460,0,,,1640910480978,6103516,1,0,[3, 1],6103516,0,0,1,12478086,12478086,12478086,12478086,13,二哥哟,36020,,238329119,14,0,other,
424.28,19:41:47,2021.12.30,INTERACT_WORD,,老爹爹cc,6847191,1640864504014300400,1640864505,0,,,1640902697031,6103516,1,0,[3, 1],6103516,0,0,1,9272486,9272486,9272486,9272486,12,二哥哟,28192,,238329119,14,0,other,
433.38,19:41:56,2021.12.30,INTERACT_WORD,,sky逆子天团_粥粥,399599658,1640864513094681600,1640864514,0,,,1640902092169,6103516,1,0,[3, 1],6103516,0,0,1,9272486,9272486,9272486,9272486,12,二哥哟,27578,,238329119,14,0,other,
445.99,19:42:08,2021.12.30,INTERACT_WORD,,逆行e风,39954962,1640864525685140000,1640864526,0,,,1641161637788,6103516,1,0,[3, 1],6103516,0,0,1,13081892,13081892,13081892,13081892,18,二哥哟,287111,,238329119,18,0,other,
